Pressure (hPa),theta (K),Temp (K),qv (g/kg),RH (%),qliq (g/kg),qice (g/kg),qsnow (g/kg),qrain (g/kg),qgraupel (g/kg)
294.83450039440481,332.0179640762974,234.23797862835221,0.23133865350068464,53.049974739013017,1.379124883756736e-05,2.2323951263131132e-05,0.060730208989971529,5.086203256701763e-09,0.021044700358278309
284.42772608091428,332.35319738560054,232.08012242189488,0.18627009053343344,51.71626786822268,2.6730203446685396e-06,3.706339803738244e-05,0.062686632801449441,8.8095128703192056e-10,0.020618281497356377
274.29996050411938,332.70928031924234,229.93517737923469,0.14962136969128673,50.46548460676172,1.9806635679033651e-23,4.5136210760427417e-05,0.063353777224700494,1.0192055342563818e-10,0.020116193568682383
264.44599288414628,333.05946356121927,227.78440069032987,0.1193349151756866,49.166685698556087,1.9086522382535792e-41,4.9338817602471871e-05,0.062928772956198253,2.3033574823925893e-28,0.019541944709156329
254.85983875844221,333.35762025024633,225.59649389819691,0.094571945120518294,48.035954586478191,1.1838156886576508e-60,5.2766162524491616e-05,0.06211614689515145,5.343136231657614e-47,0.018925150134462807
245.53485722568533,333.62135922050282,223.38394632289211,0.074853577089928375,47.261402745740419,2.14036566679953e-65,5.6589623107787945e-05,0.06108293939631175,1.6662243567508732e-60,0.018281731863113538
236.46543449989932,333.90242281113723,221.18156281328785,0.059135561113574722,46.624440540726034,6.5938723073126747e-39,6.0801651904827235e-05,0.059154962147033655,1.6232316041747494e-71,0.017563501026755936
227.64686202755937,334.19002417656327,218.98190420619753,0.046607253405929819,46.142444048681,1.6667394300302328e-32,6.5226222608879913e-05,0.056262893757010428,3.863425872453891e-89,0.016752800948046803
219.07424904441737,334.47020788815064,216.77572161248241,0.036673621098517704,45.907053145275498,7.0749768337139136e-29,7.0352027408065272e-05,0.052728924205721228,2.5700928358639056e-21,0.015833167429808486
210.74255556668118,334.7505796647456,214.56792018902593,0.028831034233134687,45.93290998575997,1.6605231279194023e-47,7.6304714471125946e-05,0.048773348798907455,1.4325147795796107e-39,0.014792277371759796
202.64705766067848,335.05140480406561,212.37127735804521,0.022625468623522209,46.114184535229541,3.2327472588205704e-38,8.3981022267144584e-05,0.044420573188285642,1.2909951158041215e-52,0.013604639572949969
194.7833118291997,335.37449099950641,210.18648997351389,0.01776265339831121,46.554940384554342,3.8437008270043305e-36,9.4930486233681195e-05,0.03974475553937902,1.5332747418158378e-38,0.012264507396744954
187.14696289888764,335.73449688778931,208.02218062460247,0.013988867689293003,47.343578734907815,1.7787784410084793e-34,0.00011124404474181458,0.034661828330579098,1.7222829521387514e-76,0.010776376259106529
179.7337090096795,336.15614335907668,205.89272346053781,0.011072009395579806,48.493160767515086,8.73146102080495e-88,0.00013840134132270075,0.029119575322633744,5.4793442109314334e-79,0.0091866153208867984
172.53932361931479,336.6879957161475,203.82623935226542,0.0088074104503025157,49.820082382621955,6.4642353418679781e-60,0.00018287687953936398,0.023052118868672495,8.1370039387654417e-66,0.0075763595312419675
165.55930122105292,337.35622558163652,201.83596621471446,0.0070432889938880769,51.229191232865823,3.2107776589538744e-16,0.00023546304113644786,0.016913365036389041,3.6138930840045148e-57,0.0060524061923144853
158.78758694496352,338.16136220257499,199.91866103472569,0.0056597670341174576,52.695036908098857,3.0502727304137821e-11,0.00028700129979978862,0.011594063544625596,7.9556223749345043e-22,0.0047048698355222802
152.21471432546539,339.08196565354064,198.05686632640101,0.0045493480136244479,54.092491881919564,5.8022471820399591e-12,0.00033947463655005874,0.0075938780617546145,1.1796385702113514e-20,0.00357406222412536
145.82529703208687,340.21167041071601,196.29756604507898,0.0036523576260660052,54.894847379205437,4.334614499410435e-11,0.00037092956485580843,0.0048079227929786359,2.9332536888000313e-19,0.0026554902817485055
139.59271651096998,341.57032885225749,194.6379022653872,0.0029251124884667181,54.972985376458652,1.7296536332012457e-10,0.00036942869853338715,0.002947842476941655,1.0294193092987829e-20,0.0019304959636893123
133.4718827401486,343.08427098838121,193.01276096791082,0.0023250033201267315,54.565053142129607,4.595834517745621e-11,0.00033391178979074452,0.0017675498360983388,1.1575686315190384e-17,0.0013660067529729781
127.39545156679038,344.68250155373175,191.34824558360279,0.0018224619895451761,53.969847392069831,6.9491304761739628e-11,0.00028172482049481067,0.0010625040763843864,1.2885267448616889e-16,0.00093706671764185855
121.27760637962351,346.33353905775834,189.58105910396216,0.001405149802827399,53.629627009852491,2.5882915242753423e-09,0.00022744187861681699,0.00063036020181664668,1.3014354937815571e-15,0.00059756537003494625
115.03023349136959,348.32480322828769,187.81240437659437,0.0010833731029193821,53.49032325486062,1.3296683811087025e-10,0.00017231734335478,0.00035665736714352605,4.363850101479164e-15,0.00034269822073489055
108.59044680852848,351.42530797907187,186.39160090106674,0.0008994379408651164,54.066119793268896,6.5001186160451607e-10,0.00011831791716389039,0.00017593719221224217,3.234384295231579e-19,0.00016094797902464764
101.94699357453212,356.35847512304815,185.63045378015175,0.00087456448006001223,56.683160538372718,5.8937891126007117e-19,6.7222110609073551e-05,6.4034292759437166e-05,7.0957901612480169e-23,5.5113708444788746e-05
95.152541881617594,363.37549444359627,185.59317671515097,0.00093028505189092861,56.653549036869094,8.8349600097685005e-13,2.573617382088201e-05,1.5358928462282877e-05,2.5089648238415969e-24,1.2456192808067998e-05
88.317494242907557,372.56553415845144,186.27825603241141,0.0011007848128231669,54.922768144073956,3.8115640903714213e-31,5.5759689440637567e-06,2.303829679663907e-06,3.7250961764166012e-68,1.6073680310352637e-06
81.580655528879575,383.20869664058716,187.30620651275697,0.0013350871270514739,51.14349431090119,3.3198195574201559e-74,7.4136345266215423e-07,2.773865506991833e-07,4.5295238411306443e-77,8.3766146938595578e-08
75.072058853350214,394.39690996807275,188.25067665390014,0.0015854024527996687,47.260772439096762,1.3201426525505999e-83,6.4161576881538065e-08,2.9396588390195074e-08,1.5062066994542573e-88,3.4683629381337123e-09
68.894222787245965,405.93674257354451,189.06393404042444,0.0018139721254308392,43.030752552542125,7.2409970862750792e-79,1.7787670933539801e-09,1.0617041596919605e-09,1.7717458912972335e-85,2.3971585875767899e-10
63.116632052759378,417.91441459686388,189.83339220687378,0.0019971893141893008,37.99456388948304,3.1481912139684447e-95,1.2969817664537529e-12,7.4983427797785664e-12,4.6339567829888515e-104,2.3458707032842225e-12
