Pressure (hPa),theta (K),Temp (K),qv (g/kg),RH (%),qliq (g/kg),qice (g/kg),qsnow (g/kg),qrain (g/kg),qgraupel (g/kg)
733.43070267335133,307.02073979493349,280.8074805289873,6.8000055500845793,75.231165286602931,0.002961212,3.7187760117730923e-93,7.2862192826253964e-17,0.013120073469455403,0.000136102
712.20761947503922,308.13557759870821,279.44819414046651,6.2467619951331983,73.720075524533641,0.002340382,2.4238740251462493e-77,3.2112346744092158e-12,0.013343532637410175,0.000344792
691.20791049555862,309.28623579207277,278.07783988852844,5.7184544885967608,72.073407003120366,0.001819765,4.2464229096303439e-71,1.0688493076898228e-09,0.012998944546055491,0.000944384
670.5736865,310.46989640109064,276.7086984553228,5.2234258142774346,70.347754862543169,0.001434196,5.168102896691157e-53,1.1694895411657451e-07,0.011741803877026337,0.002575639
650.3839247,311.6092861663189,275.28120241689493,4.7927928570478908,69.314889785744015,0.00118232,1.4208139854569884e-33,4.9894751851408221e-06,0.009361066,0.005955664
630.67402811686134,312.61969292851148,273.72712673955931,4.4679470243644896,70.100419339837984,0.001060168,1.3849850785091181e-13,2.9599730980666177e-05,0.007548041,0.007924382
611.45428233122652,313.52208604171199,272.07003556541508,4.1934755948923987,72.018389789179878,0.001033765,6.8169187058321647e-11,2.9477556333348593e-05,0.006627483,0.007952594
592.71920884622148,314.42963092313045,270.41063971303345,3.8929650433887684,73.298635032106532,0.001092204,4.2162109234151188e-09,9.0874701806369066e-05,0.005829426,0.008792966
574.45505226858313,315.3473972177614,268.75315060538327,3.6036596840462845,74.491942210545986,0.001220076,1.4355999914863366e-07,0.000259868,0.005059703,0.010139171245213397
556.65260004906315,316.3539834089562,267.1639590681167,3.3244198665612785,75.164179863555304,0.001336657,4.7238562607861299e-07,0.000600811,0.004285377,0.011610612529930271
539.30779530302743,317.40547756204546,265.60492283873265,3.0579686549368961,75.553726484431976,0.001409582,4.8236810240424578e-07,0.001171561,0.003728832,0.012933383921039231
522.41380552772557,318.40482002926723,263.9948167592388,2.802381505213452,76.075693776685966,0.001461999,3.190502901821145e-07,0.002074075,0.00353965,0.013896419456892054
505.96150436091227,319.37530648585181,262.35390454358179,2.5569752957708984,76.576292953518006,0.001476881,1.7098563676178726e-07,0.003481241,0.003475369,0.014778241325175955
489.94149636014373,320.34766995223873,260.70783165213913,2.320054881279157,76.810570905194382,0.001446999,1.146665872650542e-07,0.005525508,0.003395112,0.015632052
474.34417837126739,321.32594036005167,259.05982412295083,2.090459136,76.653445127778994,0.00137353,1.4209906501964111e-07,0.008261486,0.003248887,0.016433372135862368
459.15946906760792,322.27226043892745,257.37938227531873,1.8701824498990456,76.292439445244398,0.001268164,2.2943196203905572e-07,0.011717371010905619,0.003014693,0.017177946118998162
444.37690147340521,323.18252209278398,255.66370074098941,1.6623373147186113,75.812552597832237,0.001152247,3.8022815410337591e-07,0.015823855331917231,0.002692509,0.017884929758683919
429.98697286626538,324.09011089307313,253.93962338780273,1.4652085068498346,74.91033089028268,0.00101214,6.1431972950350866e-07,0.020276813411310941,0.002274946,0.018524313966796154
415.97927830645477,324.92280195752085,252.15083849704976,1.2787323695256791,73.860461574670353,0.000867031,9.7853746428725766e-07,0.025298717130792941,0.001778671,0.019133096954120077
402.34207106309435,325.68497059024804,250.30173152640984,1.1073112102126412,72.817043789531169,0.000728199,1.5489583621357873e-06,0.030968402113946518,0.001244668,0.019768854626284995
389.06580822189585,326.43004429129041,248.43422267389016,0.95375940611795229,71.708615100100445,0.00058949,2.3975243651406279e-06,0.036488761266256241,0.000732664,0.020327925845618433
376.14288707230742,327.12149999310066,246.52118282255563,0.81711513304997885,70.726210537449461,0.000463018,3.658879781756766e-06,0.041629041,0.000332015,0.020710673438924694
363.56583823404338,327.7746434911831,244.57524071563827,0.69257784030439262,69.430718798716882,0.000347712,5.4234691429722811e-06,0.046427064010323399,0.000103627,0.020848937021844247
351.32489240297065,328.33300138534855,242.55506205146236,0.57903690841570687,67.922435286410021,0.00025096,7.9124684641278071e-06,0.051793357488357811,1.9788205906315135e-05,0.020806509
339.40832313975909,328.81696324724561,240.47672251533493,0.47959637082717277,66.432891413825104,0.000172861,1.1253079303171466e-05,0.057393513588602646,2.2034195816468839e-06,0.020671072234600529
327.80734209468892,329.29926502958966,238.39406137636863,0.39507811111133501,64.898943532327962,0.000109052,1.512948437973116e-05,0.061775242280454584,2.3462190197851343e-07,0.020408353120288825
316.51574244756836,329.73797233480099,236.27707130816472,0.32389120610177508,63.567991858569052,6.1483292812488673e-05,2.0214413702899933e-05,0.064969055614698901,4.5450410172259752e-08,0.020034779681466153
305.5274066110498,330.14364123786493,234.13420693647905,0.26286040555848633,62.06736742856225,2.888007438118809e-05,4.7567752204510966e-05,0.067370489843536246,8.8967433409814602e-09,0.019597040684036345
294.83450039440481,330.47574458510638,231.93741147914483,0.21085917798193238,60.515492940417815,3.6854035496058886e-06,8.4736596431114102e-05,0.069905974605609586,1.985622741904536e-09,0.019139501487902451
284.42772608091428,330.75729446946769,229.70360041963673,0.16798910753841517,59.123900665367913,2.0716183109425011e-08,9.9965881315208985e-05,0.072171235548119467,2.0367223263208709e-10,0.018679751215783625
274.29996050411938,331.04869657986052,227.47505110300199,0.13299968449667729,57.673364191017747,2.507457192275409e-27,0.000109019,0.072988831603160442,1.1147592510801801e-12,0.018169875
264.44599288414628,331.3252368136765,225.23474712347772,0.10459585563416605,56.262151146872689,2.4695077730157695e-42,0.00011709,0.072564393414787931,4.3024448739344989e-35,0.017616453917590629
254.85983875844221,331.5620527,222.96615717415108,0.081728333068286155,55.023749621329763,6.6404627464252888e-17,0.000124373,0.071598750335599481,4.4719332667216779e-39,0.017059701325151885
245.53485722568533,331.77490927111535,220.68036121860143,0.063568266071196533,54.003816685717247,6.7133168813176797e-12,0.000130835,0.070187971,3.5916352970900108e-21,0.016524852235035428
236.46543449989932,331.99669515732143,218.39938150778397,0.049188446,53.03734787962393,5.0241069900947529e-40,0.000136904,0.067882300065365275,5.7284325739027025e-22,0.015983488792207706
227.64686202755937,332.22313980233741,216.12024459475413,0.037856063503485901,52.138327481356995,8.4253447967014125e-19,0.000143692,0.064743798774761913,3.2317639695359032e-21,0.015423040568857075
219.07424904441737,332.4331548418362,213.82916327587964,0.029024548337105681,51.491614413905339,4.3731639424953332e-13,0.000153424,0.061208156888992588,7.0584866824143406e-21,0.014826365689472303
210.74255556668118,332.63235781664525,211.52982819004635,0.022205648144078927,51.167527901194113,3.543807181514501e-19,0.000168914,0.057549552,4.1869699535671405e-22,0.014187606399033178
202.64705766067848,332.84654898046364,209.23857457434386,0.01695347,51.06863985954972,2.8273312666799156e-13,0.000195079,0.053426654846523119,2.0538443122438367e-21,0.013430526193892466
194.7833118291997,333.0554925102723,206.94250171270255,0.012970003619495442,51.511895296565093,3.3204310012796104e-12,0.00023857,0.048746748540645327,2.5431950723453063e-22,0.012539352386022481
187.14696289888764,333.3729913072869,204.71221015135768,0.009869154,51.615867685307883,5.1914514544008897e-12,0.000314074,0.042718323083105872,3.4987622493872129e-21,0.011441112
179.7337090096795,333.75125550663216,202.51752746694604,0.007485198,51.692126433764479,2.2755836715938951e-11,0.000462393,0.035790608878864531,1.1761849946139178e-20,0.010171273
172.53932361931479,334.14489302437482,200.33077908427362,0.005656103,51.934576968055609,6.992810037653503e-12,0.000788632,0.029015277323445363,1.6202291318393612e-19,0.00880912
165.55930122105292,334.61459316414283,198.18798504144132,0.004257402,52.055883784828652,1.7494023719558439e-11,0.001407111,0.02275885,9.36820937436114e-19,0.007411024
158.78758694496352,335.13439706539816,196.07188228811484,0.003193528,52.207017871683128,4.2947771910820014e-11,0.002217636,0.017140783994821482,4.7140738050046036e-19,0.006040666
152.21471432546539,335.71926385308637,193.9879861443826,0.002393077,52.473084846015468,7.7861005326572129e-11,0.002840205,0.012357377498507545,3.8390211193338379e-18,0.004754124
145.82529703208687,336.61726206299909,192.07244258245845,0.001815514,52.346799434584831,3.8619737215357991e-10,0.003004617,0.008263545,5.062674589002432e-17,0.00357135
139.59271651096998,337.86985303346455,190.3333418081788,0.001406836,52.113240814662184,5.9311281338450743e-10,0.002701808,0.004991076,3.6702871376651954e-16,0.002550939
133.4718827401486,339.43826352670732,188.72376527470769,0.00111146,52.000100056037567,7.3910656679467116e-10,0.00213417,0.002739683,9.8182659368669435e-16,0.001725971
