,Resolution,pert,pressure,T,tk,q,qcloud,qice,qsnow,qrain,qgraup,rh,Model,pert_group,neg
8261,250 m,T 0.5 @850,179.7337090096795,0.9226968700209568,0.5598849012103244,0.5307531737413,-1.729212070311866e-10,-0.048526764243399106,-0.4970124322373,-2.658775895717689e-17,0.4237147043182,0.1376818032955711,MONC,T 0.5 @850,False
8344,250 m,q 0.0002 @500,179.7337090096795,1.0828258813852472,0.657049873392964,0.5659052932040001,1.4177857856066665e-09,-0.1378862455783,3.9542621635237998,-6.834582252335451e-18,0.09258486940185577,-0.4397382131824159,MONC,q 0.0002 @500,False
8427,250 m,q 0.0002 @850,179.7337090096795,0.8943890346598095,0.5427079386350897,0.4646718389116,1.2884900488600613e-09,-0.09076777615364032,2.0933762760361,-7.901497923040713e-18,0.2173124576793,-0.3592134200437442,MONC,q 0.0002 @850,False
5937,1 km,T 0.5 @412,179.7337090096795,0.7987532421803962,0.4892294359462994,0.6647230728716,4.431195369422549e-80,-0.017552126846808742,1.1432068732008,-5.479344204840641e-76,-0.3088532997074,-0.386180198256369,MONC,T 0.5 @412,False
6020,1 km,T 0.5 @500,179.7337090096795,0.8703104263111072,0.5330575908525361,0.8114789737637,1.718930041397166e-14,0.013721988671412793,1.4597761419970998,1.4265900184191097e-50,0.05372826681090612,-0.220720745411036,MONC,T 0.5 @500,False
6103,1 km,T 0.5 @600,179.7337090096795,0.7024102594114651,0.4302201942576005,0.7985082207429001,4.1042682504479157e-47,0.06191816176860095,1.6358143592929002,1.2125413457999826e-46,0.2397486564604,0.4243428791017365,MONC,T 0.5 @600,False
6186,1 km,T 0.5 @730,179.7337090096795,0.7965790707718269,0.4878977748077488,0.6293504295811,7.895732045592612e-35,-0.028314167513864296,1.3292408655748,5.262162241249119e-40,0.2700447908628,-0.6609390705372817,MONC,T 0.5 @730,False
6269,1 km,T 0.5 @850,179.7337090096795,0.8980325623435305,0.5500371588319694,0.8743598859695,1.6359272513117716e-54,-0.038660764130097953,1.1133317776182001,2.9489366328317892e-61,0.5991934518373,-0.0876449491833923,MONC,T 0.5 @850,False
6767,1 km,q 0.0002 @412,179.7337090096795,1.1630814225442236,0.712377287831373,0.8113768070555,4.051111693850089e-57,-0.06483594302244136,-0.3216649956285,2.061979410228675e-62,-0.6196825375089,-1.4205679769726416,MONC,q 0.0002 @412,False
6850,1 km,q 0.0002 @500,179.7337090096795,1.1747452154565394,0.7195212598695093,1.0039818532937999,4.338907858683458e-29,-0.02837261803704738,-0.0418889757199982,3.7755701663157575e-33,-0.2247367915584,-0.6977764306480054,MONC,q 0.0002 @500,False
6933,1 km,q 0.0002 @600,179.7337090096795,1.096161337443334,0.6713893158789687,0.9429622147441,3.700268276355428e-38,-0.031384530586629954,-0.643184196335,1.0882821196008515e-58,-0.29622134455250004,-0.6197331548743819,MONC,q 0.0002 @600,False
7016,1 km,q 0.0002 @730,179.7337090096795,1.0079369776520366,0.6173526603786854,0.9349394716658,9.85711412075641e-61,-0.027703692616730804,0.0467865312240509,2.5960646997354647e-68,0.0024167527292208446,-0.2878915635814749,MONC,q 0.0002 @730,False
7099,1 km,q 0.0002 @850,179.7337090096795,1.045844686272119,0.640570803262932,0.9074991723470001,2.855898821270124e-56,-0.03224643272410469,1.1384423334125,-5.4793442109295806e-76,0.2657461813747,-0.5657436621394467,MONC,q 0.0002 @850,False
7183,500 m,T 0.5 @500,172.5393236193148,0.7825859136617054,0.4691858204542427,0.3594129449927,1.800427811482826e-08,-0.23297807611389998,2.6761088297963003,-2.0191399090631422e-16,0.42544626765759996,-0.4817859516816582,MONC,T 0.5 @500,False
7266,500 m,T 0.5 @850,172.5393236193148,0.6563165230751906,0.3934831958779625,0.2893079204002,6.7237385558120826e-09,-0.2782984708352,0.9220343027496,-2.034632092334954e-16,0.3865384958255,-0.4988951912696393,MONC,T 0.5 @850,False
7349,500 m,q 0.0002 @500,172.5393236193148,1.2032152496277604,0.7213668483224182,0.5796786345618,9.682514968000117e-09,-0.3165282248958,4.0394473837061,-2.1744324375808977e-16,0.7465194245,-0.5862698753897674,MONC,q 0.0002 @500,False
7432,500 m,q 0.0002 @850,172.5393236193148,0.9353718004828124,0.5607859507537682,0.4519812396132,9.98353674716312e-09,-0.2583596726427,1.9957247396728,-1.878847092263509e-16,0.5204742781727,-0.4068148822798392,MONC,q 0.0002 @850,False
7930,250 m,T 0.5 @412,172.5393236193148,0.5688445725022006,0.3410409040095601,0.2112937854292,4.769345576027096e-07,-0.1230975599943,1.9983094831312003,4.3214700629738086e-14,-0.2187400535531,-0.3571814606502599,MONC,T 0.5 @412,False
8013,250 m,T 0.5 @500,172.5393236193148,0.7026045495342145,0.4212343798594702,0.2909702785423,-3.1968320073147133e-09,-0.1233303874185,2.2809978283354,2.01413602653109e-19,0.374669193469,-0.1026717380733117,MONC,T 0.5 @500,False
